Column,Entity
hatch_year,timing
hatch_nest_breed_ID,identifier
hatch_Area,location
hatch_Box,location
hatch_mom_Ring,parentage
hatch_nest_dad_Ring,parentage
Extra-pair_paternity,parentage
Extra-pair_dad_ring,parentage
genetic_dad_ring_(WP_or_EP),parentage
hatch_nest_LD,timing
hatch_nest_CS,siblings
hatch_nest_OH,timing
d0_hatch_nest_brood_size,siblings
d14_hatch_nest_brood_size,siblings
rear_nest_breed_ID,identifier
rear_area,location
rear_Box,location
rear_mom_Ring,parentage
rear_dad_Ring,parentage
rear_nest_trt,experiment
home_or_away,experiment
rear_nest_LD,timing
rear_nest_CS,siblings
rear_nest_OH,timing
rear_d0_rear_nest_brood_size,siblings
rear_Cs_out,experiment
rear_Cs_in,experiment
net_rearing_manipulation,experiment
rear_Cs_at_start_of_rearing,siblings
d14_rear_nest_brood_size,siblings
number_chicks_fledged_from_rear_nest,siblings
Date_of_day14,timing
day_14_tarsus_length,growth
day_14_weight,growth
day14_measurer,observer
chick_sex_molec,sex
chick_survival_to_first_breed_season,survival
within-area_movement,experiment
brood_reduction,experiment
blood_sib,siblings
hatch_incub_length,growth
rear_incub_length,growth
relatedness,parentage
competition_weight,growth
relative_CS,siblings
envir_rear,location
percent_change,experiment
parentage,parentage
manipulation_non,experiment
seasonal_timing,timing
brood_mortality,survival
brood_sex_ratio,sex
