source_id,column_id,column_category
euc,SurveyID,id
euc,Date,timing
euc,Season,timing
euc,Property,location
euc,Quadrat no,id
euc,Easting,location
euc,Northing,location
euc,Aspect,location
euc,Landscape position,location
euc,ExoticAnnualGrass_cover,grass
euc,ExoticAnnualHerb_cover,non_grass_understory
euc,ExoticPerennialHerb_cover,non_grass_understory
euc,ExoticPerennialGrass_cover,grass
euc,ExoticShrub_cover,shrub
euc,NativePerennialFern_cover,non_grass_understory
euc,NativePerennialGrass_cover,grass
euc,NativePerennialHerb_cover,non_grass_understory
euc,NativePerennialGraminoid_cover,grass
euc,NativeShrub_cover,shrub
euc,BareGround_cover,non_veg_groundlayer
euc,Litter_cover,non_veg_groundlayer
euc,MossLichen_cover,non_grass_understory
euc,Rock_cover,non_veg_groundlayer
euc,Euc_canopy_cover,propagule_pressure
euc,Distance_to_Eucalypt_canopy(m),propagule_pressure
euc,euc_sdlgs0_50cm,seedings
euc,euc_sdlgs50cm-2m,seedings
euc,euc_sdlgs>2m,seedings
euc,annual_precipitation,water_availability
euc,precipitation_warmest_quarter,temperature
euc,precipitation_coldest_quarter,temperature
euc,PET,water_availability
euc,MrVBF,location
euc,K_perc,nutrients
euc,Th_ppm,nutrients
euc,U_ppm,nutrients
euc,SRad_Jan,sunlight
euc,SRad_Jul,sunlight
euc,all_grass,grass
euc,all_exotic_grass,grass
euc,all_native_grass_graminoid,grass
euc,all_non-grass_veg,non_grass_understory
euc,shrub_cover,shrub
euc,herb_cover,non_grass_understory
euc,other_veg,non_grass_understory
euc,bare,non_veg_groundlayer
euc,month,timing
euc,all_exotic_herb,non_grass_understory
euc,native_herb_fern_gram,non_grass_understory
euc,growing_space,non_veg_groundlayer
euc,soilPC1,nutrients
euc,coverPC1,understory
euc,coverPC2,understory
euc,coverPC3,understory
euc,precip_max_range,water_availability
euc,year,timing
euc,size_class,seedings
euc,all_perennial_grass,grass
euc,sample,id
tit,hatch_year,year
tit,hatch_nest_breed_ID,id
tit,hatch_Area,hatch_location
tit,hatch_Box,hatch_location
tit,hatch_mom_Ring,parent
tit,hatch_nest_dad_Ring,parent
tit,Extra-pair_paternity,parent
tit,Extra-pair_dad_ring,parent
tit,genetic_dad_ring_(WP_or_EP),parent
tit,hatch_nest_LD,date
tit,hatch_nest_CS,hatch_siblings
tit,hatch_nest_OH,date
tit,d0_hatch_nest_brood_size,hatch_siblings
tit,d14_hatch_nest_brood_size,hatch_siblings
tit,rear_nest_breed_ID,id
tit,rear_area,rear_location
tit,rear_Box,rear_location
tit,rear_mom_Ring,parent
tit,rear_dad_Ring,parent
tit,rear_nest_trt,experimental_treatment
tit,home_or_away,experimental_treatment
tit,rear_nest_LD,date
tit,rear_nest_CS,siblings
tit,rear_nest_OH,date
tit,rear_d0_rear_nest_brood_size,siblings
tit,rear_Cs_out,experimental_treatment
tit,rear_Cs_in,experimental_treatment
tit,net_rearing_manipulation,experimental_treatment
tit,rear_Cs_at_start_of_rearing,siblings
tit,d14_rear_nest_brood_size,siblings
tit,number_chicks_fledged_from_rear_nest,survival
tit,Date_of_day14,date
tit,day_14_tarsus_length,tarsus
tit,day_14_weight,weight
tit,day14_measurer,observer
tit,chick_sex_molec,sex
tit,chick_survival_to_first_breed_season,survival
tit,within-area_movement,experimental_treatment
tit,brood_reduction,experimental_treatment
tit,blood_sib,siblings
tit,hatch_incub_length,incubation
tit,rear_incub_length,incubation
tit,relatedness,genetics
tit,competition_weight,weight
tit,relative_CS,siblings
tit,envir_rear,rear_location
tit,percent_change,experimental_treatment
tit,parentage,parent
tit,manipulation_non,experimental_treatment
tit,seasonal_timing,date
tit,brood_mortality,survival
tit,brood_sex_ratio,sex
