source_id,team_id,model_id
euc,Bicheno,Bicheno-1-1-1
euc,Bicheno,Bicheno-1-1-2
euc,Biloela,Biloela-1-1-1
euc,Bingara,Bingara-1-1-1
euc,Birchip,Birchip-1-1-1
euc,Birdwoo,Birdwoo-1-1-1
euc,Blayney,Blayney-1-1-1
euc,Bodalla,Bodalla-1-1-1
euc,Bombala,Bombala-1-1-1
euc,Bonalbo,Bonalbo-1-1-1
euc,Bonalbo,Bonalbo-2-2-1
euc,Boorowa,Boorowa-1-3-1
euc,Boorowa,Boorowa-1-1-1
euc,Boorowa,Boorowa-1-2-1
euc,Brookto,Brookto-1-1-1
euc,Broulee,Broulee-1-1-1
euc,Bruthen,Bruthen-1-1-1
euc,Buderim,Buderim-1-1-1
euc,Candelo,Candelo-4-4-1
euc,Candelo,Candelo-3-3-1
euc,Candelo,Candelo-1-1-1
euc,Candelo,Candelo-2-2-1
euc,Carcoar,Carcoar-1-1-1
euc,Carnama,Carnama-1-1-1
euc,Chewton,Chewton-1-1-1
euc,Aberdeen,Aberdeen-1-1-1
euc,Andamook,Andamook-3-3-1
euc,Andamook,Andamook-1-1-1
euc,Andamook,Andamook-4-4-1
euc,Andamook,Andamook-2-2-1
euc,Byrock,Byrock-1-3-1
euc,Byrock,Byrock-5-7-1
euc,Byrock,Byrock-4-6-1
euc,Byrock,Byrock-2-4-1
euc,Byrock,Byrock-3-5-1
euc,Anglesea,Anglesea-1-1-1
euc,Anglesea,Anglesea-2-2-1
euc,Ardrossa,Ardrossa-1-1-1
euc,Arkarool,Arkarool-1-1-1
euc,Armidale,Armidale-1-1-1
euc,Atherton,Atherton-3-3-1
euc,Atherton,Atherton-1-1-1
euc,Atherton,Atherton-2-2-1
euc,Balaklav,Balaklav-1-1-1
euc,Ballarat,Ballarat-1-1-1
euc,Balmoral,Balmoral-1-1-1
euc,Bangalow,Bangalow-1-1-1
euc,Bangalow,Bangalow-2-2-1
euc,Bangalow,Bangalow-3-3-1
euc,Bangalow,Bangalow-4-4-1
euc,Barellan,Barellan-1-1-1
euc,Batchelo,Batchelo-1-1-1
euc,Batchelo,Batchelo-2-2-1
euc,Bathurst,Bathurst-1-1-1
euc,Beachpor,Beachpor-1-1-1
euc,Beachpor,Beachpor-1-1-2
euc,Beachpor,Beachpor-1-1-3
euc,Beachpor,Beachpor-2-2-1
euc,Beachpor,Beachpor-2-2-2
euc,Beachpor,Beachpor-2-2-3
euc,Beaufort,Beaufort-2-2-1
euc,Beaufort,Beaufort-1-1-1
euc,Belgrave,Belgrave-1-1-1
euc,Bencubbi,Bencubbi-1-1-1
euc,Bermagui,Bermagui-1-3-1
euc,Bermagui,Bermagui-1-3-2
euc,Bermagui,Bermagui-1-3-3
euc,Bermagui,Bermagui-1-1-1
euc,Bermagui,Bermagui-1-1-2
