source_id,model_id,column_id,team_id,column_category,conclusion_certainty,conclusion_direction,source_label
euc,Bicheno-1-1-1,Season,Bicheno,timing,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-1,ExoticAnnualGrass_cover,Bicheno,grass,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-1,ExoticAnnualHerb_cover,Bicheno,non_grass_understory,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-1,ExoticPerennialHerb_cover,Bicheno,non_grass_understory,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-1,ExoticPerennialGrass_cover,Bicheno,grass,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-1,ExoticShrub_cover,Bicheno,shrub,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-1,NativePerennialFern_cover,Bicheno,non_grass_understory,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-1,NativePerennialGrass_cover,Bicheno,grass,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-1,NativePerennialHerb_cover,Bicheno,non_grass_understory,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-1,NativePerennialGraminoid_cover,Bicheno,grass,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-1,BareGround_cover,Bicheno,non_veg_groundlayer,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-1,Litter_cover,Bicheno,non_veg_groundlayer,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-1,Euc_canopy_cover,Bicheno,propagule_pressure,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-1,Distance_to_Eucalypt_canopy(m),Bicheno,propagule_pressure,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-1,euc_sdlgs0_50cm,Bicheno,seedings,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-1,euc_sdlgs50cm-2m,Bicheno,seedings,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-1,PET,Bicheno,water_availability,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-1,SRad_Jul,Bicheno,sunlight,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-2,Season,Bicheno,timing,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-2,ExoticAnnualGrass_cover,Bicheno,grass,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-2,ExoticAnnualHerb_cover,Bicheno,non_grass_understory,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-2,ExoticPerennialHerb_cover,Bicheno,non_grass_understory,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-2,ExoticPerennialGrass_cover,Bicheno,grass,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-2,ExoticShrub_cover,Bicheno,shrub,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-2,NativePerennialFern_cover,Bicheno,non_grass_understory,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-2,NativePerennialGrass_cover,Bicheno,grass,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-2,NativePerennialHerb_cover,Bicheno,non_grass_understory,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-2,NativePerennialGraminoid_cover,Bicheno,grass,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-2,BareGround_cover,Bicheno,non_veg_groundlayer,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-2,Litter_cover,Bicheno,non_veg_groundlayer,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-2,Euc_canopy_cover,Bicheno,propagule_pressure,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-2,Distance_to_Eucalypt_canopy(m),Bicheno,propagule_pressure,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-2,euc_sdlgs0_50cm,Bicheno,seedings,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-2,euc_sdlgs50cm-2m,Bicheno,seedings,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-2,PET,Bicheno,water_availability,qualified,negative,eucalpytus (teams = 66)
euc,Bicheno-1-1-2,SRad_Jul,Bicheno,sunlight,qualified,negative,eucalpytus (teams = 66)
euc,Biloela-1-1-1,Season,Biloela,timing,qualified,positive,eucalpytus (teams = 66)
euc,Biloela-1-1-1,Property,Biloela,location,qualified,positive,eucalpytus (teams = 66)
euc,Biloela-1-1-1,Quadrat no,Biloela,id,qualified,positive,eucalpytus (teams = 66)
euc,Biloela-1-1-1,Aspect,Biloela,location,qualified,positive,eucalpytus (teams = 66)
euc,Biloela-1-1-1,ExoticAnnualGrass_cover,Biloela,grass,qualified,positive,eucalpytus (teams = 66)
euc,Biloela-1-1-1,ExoticAnnualHerb_cover,Biloela,non_grass_understory,qualified,positive,eucalpytus (teams = 66)
euc,Biloela-1-1-1,ExoticPerennialHerb_cover,Biloela,non_grass_understory,qualified,positive,eucalpytus (teams = 66)
euc,Biloela-1-1-1,ExoticPerennialGrass_cover,Biloela,grass,qualified,positive,eucalpytus (teams = 66)
euc,Biloela-1-1-1,ExoticShrub_cover,Biloela,shrub,qualified,positive,eucalpytus (teams = 66)
euc,Biloela-1-1-1,NativePerennialGrass_cover,Biloela,grass,qualified,positive,eucalpytus (teams = 66)
euc,Biloela-1-1-1,BareGround_cover,Biloela,non_veg_groundlayer,qualified,positive,eucalpytus (teams = 66)
euc,Biloela-1-1-1,Litter_cover,Biloela,non_veg_groundlayer,qualified,positive,eucalpytus (teams = 66)
euc,Biloela-1-1-1,Euc_canopy_cover,Biloela,propagule_pressure,qualified,positive,eucalpytus (teams = 66)
euc,Biloela-1-1-1,Distance_to_Eucalypt_canopy(m),Biloela,propagule_pressure,qualified,positive,eucalpytus (teams = 66)
euc,Biloela-1-1-1,euc_sdlgs0_50cm,Biloela,seedings,qualified,positive,eucalpytus (teams = 66)
euc,Biloela-1-1-1,euc_sdlgs50cm-2m,Biloela,seedings,qualified,positive,eucalpytus (teams = 66)
euc,Biloela-1-1-1,Th_ppm,Biloela,nutrients,qualified,positive,eucalpytus (teams = 66)
euc,Bingara-1-1-1,Date,Bingara,timing,conclusive,negative,eucalpytus (teams = 66)
euc,Bingara-1-1-1,Property,Bingara,location,conclusive,negative,eucalpytus (teams = 66)
euc,Bingara-1-1-1,Quadrat no,Bingara,id,conclusive,negative,eucalpytus (teams = 66)
euc,Bingara-1-1-1,ExoticAnnualGrass_cover,Bingara,grass,conclusive,negative,eucalpytus (teams = 66)
euc,Bingara-1-1-1,ExoticPerennialGrass_cover,Bingara,grass,conclusive,negative,eucalpytus (teams = 66)
euc,Bingara-1-1-1,NativePerennialGrass_cover,Bingara,grass,conclusive,negative,eucalpytus (teams = 66)
euc,Bingara-1-1-1,NativePerennialGraminoid_cover,Bingara,grass,conclusive,negative,eucalpytus (teams = 66)
euc,Bingara-1-1-1,BareGround_cover,Bingara,non_veg_groundlayer,conclusive,negative,eucalpytus (teams = 66)
euc,Bingara-1-1-1,MossLichen_cover,Bingara,non_grass_understory,conclusive,negative,eucalpytus (teams = 66)
euc,Bingara-1-1-1,Rock_cover,Bingara,non_veg_groundlayer,conclusive,negative,eucalpytus (teams = 66)
euc,Bingara-1-1-1,Euc_canopy_cover,Bingara,propagule_pressure,conclusive,negative,eucalpytus (teams = 66)
euc,Bingara-1-1-1,Distance_to_Eucalypt_canopy(m),Bingara,propagule_pressure,conclusive,negative,eucalpytus (teams = 66)
euc,Bingara-1-1-1,K_perc,Bingara,nutrients,conclusive,negative,eucalpytus (teams = 66)
euc,Birchip-1-1-1,Date,Birchip,timing,conclusive,negative,eucalpytus (teams = 66)
euc,Birchip-1-1-1,Property,Birchip,location,conclusive,negative,eucalpytus (teams = 66)
euc,Birchip-1-1-1,Quadrat no,Birchip,id,conclusive,negative,eucalpytus (teams = 66)
euc,Birchip-1-1-1,ExoticAnnualGrass_cover,Birchip,grass,conclusive,negative,eucalpytus (teams = 66)
euc,Birchip-1-1-1,ExoticPerennialGrass_cover,Birchip,grass,conclusive,negative,eucalpytus (teams = 66)
