source_id,team_id,conclusion_direction,conclusion_certainty,source_label
euc,Bicheno,negative,qualified,eucalpytus (teams = 66)
euc,Biloela,positive,qualified,eucalpytus (teams = 66)
euc,Bingara,negative,conclusive,eucalpytus (teams = 66)
euc,Birchip,negative,conclusive,eucalpytus (teams = 66)
euc,Birdwoo,none,qualified,eucalpytus (teams = 66)
euc,Blayney,negative,conclusive,eucalpytus (teams = 66)
euc,Bodalla,none,qualified,eucalpytus (teams = 66)
euc,Bombala,negative,conclusive,eucalpytus (teams = 66)
euc,Bonalbo,mixed,conclusive,eucalpytus (teams = 66)
euc,Boorowa,negative,conclusive,eucalpytus (teams = 66)
euc,Brookto,none,conclusive,eucalpytus (teams = 66)
euc,Broulee,negative,qualified,eucalpytus (teams = 66)
euc,Bruthen,conclusion missing,conclusion missing,eucalpytus (teams = 66)
euc,Buderim,negative,conclusive,eucalpytus (teams = 66)
euc,Candelo,negative,qualified,eucalpytus (teams = 66)
euc,Carcoar,none,conclusive,eucalpytus (teams = 66)
euc,Carnama,mixed,conclusive,eucalpytus (teams = 66)
euc,Chewton,positive,conclusive,eucalpytus (teams = 66)
euc,Aberdeen,positive,qualified,eucalpytus (teams = 66)
euc,Andamook,negative,conclusive,eucalpytus (teams = 66)
euc,Byrock,negative,qualified,eucalpytus (teams = 66)
euc,Anglesea,negative,qualified,eucalpytus (teams = 66)
euc,Ardrossa,none,conclusive,eucalpytus (teams = 66)
euc,Arkarool,none,conclusive,eucalpytus (teams = 66)
euc,Armidale,positive,qualified,eucalpytus (teams = 66)
euc,Atherton,mixed,conclusive,eucalpytus (teams = 66)
euc,Balaklav,negative,qualified,eucalpytus (teams = 66)
euc,Ballarat,positive,qualified,eucalpytus (teams = 66)
euc,Balmoral,none,conclusive,eucalpytus (teams = 66)
euc,Bangalow,none,qualified,eucalpytus (teams = 66)
euc,Barellan,none,conclusive,eucalpytus (teams = 66)
euc,Batchelo,none,qualified,eucalpytus (teams = 66)
euc,Bathurst,none,conclusive,eucalpytus (teams = 66)
euc,Beachpor,none,conclusive,eucalpytus (teams = 66)
euc,Beaufort,none,qualified,eucalpytus (teams = 66)
euc,Belgrave,negative,qualified,eucalpytus (teams = 66)
euc,Bencubbi,none,conclusive,eucalpytus (teams = 66)
euc,Bermagui,mixed,qualified,eucalpytus (teams = 66)
euc,Berrigan,negative,conclusive,eucalpytus (teams = 66)
euc,Binalong,negative,qualified,eucalpytus (teams = 66)
euc,Binnaway,negative,qualified,eucalpytus (teams = 66)
euc,Blackall,mixed,conclusive,eucalpytus (teams = 66)
euc,Boggabri,none,conclusive,eucalpytus (teams = 66)
euc,Booligal,negative,qualified,eucalpytus (teams = 66)
euc,Bothwell,none,qualified,eucalpytus (teams = 66)
euc,Boydtown,negative,qualified,eucalpytus (teams = 66)
euc,Branxton,conclusion missing,conclusion missing,eucalpytus (teams = 66)
euc,Bridport,mixed,qualified,eucalpytus (teams = 66)
euc,Brighton,none,conclusive,eucalpytus (teams = 66)
euc,Brooklyn,negative,qualified,eucalpytus (teams = 66)
euc,Buckland,none,qualified,eucalpytus (teams = 66)
euc,Bundarra,none,conclusive,eucalpytus (teams = 66)
euc,Busselto,mixed,qualified,eucalpytus (teams = 66)
euc,Calliope,none,qualified,eucalpytus (teams = 66)
euc,Canberra,none,conclusive,eucalpytus (teams = 66)
euc,Capertee,negative,qualified,eucalpytus (teams = 66)
euc,Cardwell,none,conclusive,eucalpytus (teams = 66)
euc,Carnarvo,none,conclusive,eucalpytus (teams = 66)
euc,Carrieto,conclusion missing,conclusion missing,eucalpytus (teams = 66)
euc,Cassilis,positive,conclusive,eucalpytus (teams = 66)
euc,Cervante,none,qualified,eucalpytus (teams = 66)
euc,Cessnock,none,conclusive,eucalpytus (teams = 66)
euc,Charlton,one,qualified,eucalpytus (teams = 66)
euc,Childers,mixed,conclusive,eucalpytus (teams = 66)
euc,Chiltern,none,qualified,eucalpytus (teams = 66)
euc,Bundeena,mixed,conclusive,eucalpytus (teams = 66)
tit,Ayr,negative,qualified,bluetit (teams = 77)
tit,Bega,negative,qualified,bluetit (teams = 77)
tit,Bell,negative,conclusive,bluetit (teams = 77)
tit,Berr,mixed,conclusive,bluetit (teams = 77)
tit,Brim,negative,conclusive,bluetit (teams = 77)
tit,Bruc,negative,qualified,bluetit (teams = 77)
tit,Burr,negative,conclusive,bluetit (teams = 77)
tit,Byng,negative,conclusive,bluetit (teams = 77)
tit,Cape,conclusion missing,conclusion missing,bluetit (teams = 77)
tit,Clar,negative,conclusive,bluetit (teams = 77)
tit,Clev,negative,qualified,bluetit (teams = 77)
tit,Alban,negative,conclusive,bluetit (teams = 77)
tit,Alpha,none,qualified,bluetit (teams = 77)
tit,Appin,none,conclusive,bluetit (teams = 77)
tit,Aubur,negative,qualified,bluetit (teams = 77)
tit,Avoca,negative,qualified,bluetit (teams = 77)
tit,Bargo,negative,conclusive,bluetit (teams = 77)
tit,Berry,negative,conclusive,bluetit (teams = 77)
tit,Binda,mixed,conclusive,bluetit (teams = 77)
tit,Borde,negative,qualified,bluetit (teams = 77)
tit,Bowen,negative,qualified,bluetit (teams = 77)
tit,Bulli,negative,qualified,bluetit (teams = 77)
tit,Cedun,negative,conclusive,bluetit (teams = 77)
tit,Albury,negative,conclusive,bluetit (teams = 77)
tit,Aldgat,mixed,qualified,bluetit (teams = 77)
tit,Alding,negative,conclusive,bluetit (teams = 77)
tit,Allora,negative,conclusive,bluetit (teams = 77)
tit,Anakie,conclusion missing,conclusion missing,bluetit (teams = 77)
tit,Aramac,negative,qualified,bluetit (teams = 77)
tit,Ararat,irrelevant,irrelevant,bluetit (teams = 77)
tit,August,negative,conclusive,bluetit (teams = 77)
tit,Avenel,negative,qualified,bluetit (teams = 77)
tit,Bamaga,negative,qualified,bluetit (teams = 77)
tit,Barmah,negative,qualified,bluetit (teams = 77)
tit,Barmer,negative,conclusive,bluetit (teams = 77)
tit,Batlow,negative,qualified,bluetit (teams = 77)
tit,Baxter,negative,conclusive,bluetit (teams = 77)
tit,Beltan,negative,conclusive,bluetit (teams = 77)
tit,Bethan,negative,qualified,bluetit (teams = 77)
tit,Beulah,negative,NA,bluetit (teams = 77)
tit,Bilpin,negative,conclusive,bluetit (teams = 77)
tit,Bindoo,negative,qualified,bluetit (teams = 77)
tit,Blinma,negative,qualified,bluetit (teams = 77)
tit,Boonah,negative,qualified,bluetit (teams = 77)
tit,Boulia,negative,conclusive,bluetit (teams = 77)
tit,Bourke,negative,conclusive,bluetit (teams = 77)
tit,Bowral,mixed,qualified,bluetit (teams = 77)
tit,Bright,negative,qualified,bluetit (teams = 77)
tit,Buchan,negative,qualified,bluetit (teams = 77)
tit,Bunbur,none,qualified,bluetit (teams = 77)
tit,Burnie,negative,qualified,bluetit (teams = 77)
tit,Byrock,negative,conclusive,bluetit (teams = 77)
tit,Caigun,mixed,qualified,bluetit (teams = 77)
tit,Cairns,negative,qualified,bluetit (teams = 77)
tit,Camden,none,conclusive,bluetit (teams = 77)
tit,Casino,conclusion missing,conclusion missing,bluetit (teams = 77)
tit,Cattai,negative,conclusive,bluetit (teams = 77)
tit,Adelong,mixed,conclusive,bluetit (teams = 77)
tit,Angasto,mixed,conclusive,bluetit (teams = 77)
tit,Antwerp,negative,conclusive,bluetit (teams = 77)
tit,Araluen,negative,conclusive,bluetit (teams = 77)
tit,Arltung,negative,conclusive,bluetit (teams = 77)
tit,Armadal,negative,qualified,bluetit (teams = 77)
tit,Ashford,negative,conclusive,bluetit (teams = 77)
tit,Babinda,mixed,qualified,bluetit (teams = 77)
tit,Balingu,negative,conclusive,bluetit (teams = 77)
tit,Ballina,negative,qualified,bluetit (teams = 77)
tit,Bargara,negative,conclusive,bluetit (teams = 77)
tit,Barooga,negative,qualified,bluetit (teams = 77)
tit,Barraba,negative,conclusive,bluetit (teams = 77)
tit,Belmont,negative,conclusive,bluetit (teams = 77)
tit,Bemboka,negative,conclusive,bluetit (teams = 77)
tit,Benalla,negative,conclusive,bluetit (teams = 77)
tit,Bendigo,negative,conclusive,bluetit (teams = 77)
tit,Berrima,negative,conclusive,bluetit (teams = 77)
tit,Berwick,mixed,conclusive,bluetit (teams = 77)
tit,Beverle,negative,qualified,bluetit (teams = 77)
