source_id,variable_type,variable_id
euc,column,SurveyID
euc,column,Date
euc,column,Season
euc,column,Property
euc,column,Quadrat no
euc,column,Easting
euc,column,Northing
euc,column,Aspect
euc,column,Landscape position
euc,column,ExoticAnnualGrass_cover
euc,column,ExoticAnnualHerb_cover
euc,column,ExoticPerennialHerb_cover
euc,column,ExoticPerennialGrass_cover
euc,column,ExoticShrub_cover
euc,column,NativePerennialFern_cover
euc,column,NativePerennialGrass_cover
euc,column,NativePerennialHerb_cover
euc,column,NativePerennialGraminoid_cover
euc,column,NativeShrub_cover
euc,column,BareGround_cover
euc,column,Litter_cover
euc,column,MossLichen_cover
euc,column,Rock_cover
euc,column,Euc_canopy_cover
euc,column,Distance_to_Eucalypt_canopy(m)
euc,column,euc_sdlgs0_50cm
euc,column,euc_sdlgs50cm-2m
euc,column,euc_sdlgs>2m
euc,column,annual_precipitation
euc,column,precipitation_warmest_quarter
euc,column,precipitation_coldest_quarter
euc,column,PET
euc,column,MrVBF
euc,column,K_perc
euc,column,Th_ppm
euc,column,U_ppm
euc,column,SRad_Jan
euc,column,SRad_Jul
euc,column,all_grass
euc,column,all_exotic_grass
euc,column,all_native_grass_graminoid
euc,column,all_non-grass_veg
euc,column,shrub_cover
euc,column,herb_cover
euc,column,other_veg
euc,column,bare
euc,column,month
euc,column,all_exotic_herb
euc,column,native_herb_fern_gram
euc,column,growing_space
euc,column,soilPC1
euc,column,coverPC1
euc,column,coverPC2
euc,column,coverPC3
euc,column,precip_max_range
euc,column,year
euc,column,size_class
euc,column,all_perennial_grass
euc,column,sample
tit,column,hatch_year
tit,column,hatch_nest_breed_ID
tit,column,hatch_Area
tit,column,hatch_Box
tit,column,hatch_mom_Ring
tit,column,hatch_nest_dad_Ring
tit,column,Extra-pair_paternity
tit,column,Extra-pair_dad_ring
tit,column,genetic_dad_ring_(WP_or_EP)
tit,column,hatch_nest_LD
tit,column,hatch_nest_CS
tit,column,hatch_nest_OH
tit,column,d0_hatch_nest_brood_size
tit,column,d14_hatch_nest_brood_size
tit,column,rear_nest_breed_ID
tit,column,rear_area
tit,column,rear_Box
tit,column,rear_mom_Ring
tit,column,rear_dad_Ring
tit,column,rear_nest_trt
tit,column,home_or_away
tit,column,rear_nest_LD
tit,column,rear_nest_CS
tit,column,rear_nest_OH
tit,column,rear_d0_rear_nest_brood_size
tit,column,rear_Cs_out
tit,column,rear_Cs_in
tit,column,net_rearing_manipulation
tit,column,rear_Cs_at_start_of_rearing
tit,column,d14_rear_nest_brood_size
tit,column,number_chicks_fledged_from_rear_nest
tit,column,Date_of_day14
tit,column,day_14_tarsus_length
tit,column,day_14_weight
tit,column,day14_measurer
tit,column,chick_sex_molec
tit,column,chick_survival_to_first_breed_season
tit,column,within-area_movement
tit,column,brood_reduction
tit,column,blood_sib
tit,column,hatch_incub_length
tit,column,rear_incub_length
tit,column,relatedness
tit,column,competition_weight
tit,column,relative_CS
tit,column,envir_rear
tit,column,percent_change
tit,column,parentage
tit,column,manipulation_non
tit,column,seasonal_timing
tit,column,brood_mortality
tit,column,brood_sex_ratio
