team_id,ConclusionS1,Conclusion
Ayr,"Chicks reared in clutches of 5-6 were the biggest in weight, tarsus length, and overall growth. Although sibling competition affected chick growth, this effect was outweighed by the random effects of each model, illustrating the importance of parental, geographical, and weather-related influences.",neg_q
Bega,"Nestlings in enlarged broods on average had shorter tarsi compared to control broods, but not significantly so, while they had significantly shorter tarsi compared to nestlings in reduced broods (Table 1, Figure 1B, 1D). Nestlings in reduced broods did not have significantly longer tarsi than control nestlings (Table 1, Figure 1B, 1D). Mean tarsus length per nest was significantly lower for larger experimental broods and for broods in which more nestlings died. The laying date did not affect mean tarsus length significantly.
We found mean weight per brood to be significantly lower in the enlarged broods compared to the control and reduced broods, while nestlings in reduced broods were not significantly heavier than nestlings in control broods (Table 1, Figure 1A, 1C). Mean weight was significantly lower for larger experimental brood sizes, broods that were laid later in the year, and nests in which a higher number of nestlings died.",neg_q
Bell,"Specifically, tarsus length was negatively influenced by brood size increases, and positively related to brood size decreases. The net change in brood size was also negatively related to tarsus length, indicating that broods with larger increases in the number of nestlings also had smaller nestlings.Body mass showed similar relationships. Body mass was lower in broods with increased size, and was negatively related to the net change in brood size.  Additionally, body mass was negatively related to the brood size at day 14 when mass was measured.",neg_c
Berr,"Nestling weight at 14 days of age, on average, is negatively affected when additional competitors are added to the nest (by 0.37g per added nestling), but there is no beneficial effect of reducing a brood size.",neg_q
Brim,"The more offspring there are within a nest, the more competition for food exists, and therefore the greater the difference in sizes between birds within the nest box. Standard deviation and range both increase significantly as number of nestlings increases.",neg_c
Bruc,"From my analysis, it appears that sibling competition affect growth  of nestling blue tits a scaled body mass decreased with increasing brood size. However, it not the only factor that influence growth as the date at which the individuals were measured influenced body mass with lower body mass later in the breeding season compare to the beginning. This relationship differed between years. It suggests that environmental conditions likely through their impact on food resources also influenced growth.",neg_q
Burr,Tarsus length also decreased somewhat with increasing clutch size. Weight also decreased with increasing clutch size (Figure 2C) and with laying date,neg_c
Byng,"Data from this experiment show that experimentally increasing or reducing brood size by approximately one quarter by moving chicks between nests caused higher mortality in increased broods to about 18%, compared to about 7% in decreased broods. Surviving chicks on day 14 in increased broods had lower body weight by about 1 g and shorter tarsometatarsal bones by about 0.4 mm compared to those in decreased broods. This shows that competition with siblings can have large effects on growth of nestling blue tits.",neg_c
Cape,NA,NA
Clar,"For both measures of chick size, the magnitude of difference between the two treatments significantly improved models of the difference in chick size (tarsus length: Î§2 = 7.5, df = 1, p-value = 0.006; weight: Î§2 = 13.2, df = 1, p-value < 0.001). Also, in line with the expectation that manipulations that do not change the number of siblings will not affect chick size, the addition of a non-zero y-intercept did not improve model fits (tarsus length: Î§2 = 0.81, df = 1, p-value = 0.37; weight: Î§2 = 0.05, df = 1, p-value =0.82). According to the final models, for every additional sibling in a nest, chicks had 0.04 mm (SE = 0.015 mm) shorter tarsi and were 0.14 g (SE = 0.034 g) lighter (Table 1, Figure 1).",neg_c
Clev,"Enlarging broods led to worse outcomes both for individual nestlings and for reproductive success of parents. 
Nestlings in enlarged broods tended to be smaller in mass and skeletal size (tarsus length). Mass and tarsus length were both significantly negatively associated with brood size. Parents of enlarged broods also fledged a smaller proportion of their broods compared to controls. On the other hand, nestlings in reduced  broods were not larger compared to controls, although they did seem more likely to survive to the next year, suggesting that they did receive more or better care from their parents. Parents of enlarged broods seemed unable or unwilling to increase care, which likely resulted in poorer quality nestlings and lower fledging success. 

The variance in quality among nestlings in the enlarged brood was likewise larger compared to controls, consistent with the hypothesis that parents of enlarged broods struggled to care for all nestlings equally. It is difficult to determine, however, whether these results demonstrate that nestlings are competing within the brood. Although having more siblings tended to reduce a nestling's condition and likelihood of fledging, that does not necessarily
mean that nestlings were directly competing with one another. Parents may have limited their investment in enlarged broods according to their own condition and/or opportunuties for future reproduction, leading to poorer quality broods, independent of interactions between individual nestmates. However, the fact that variance in quality was higher in reduced broods is consistent with the hypothesis that some nestlings in enlarged broods were still managing to grow and develop at the expense of their nestmates. 

Provisioning and begging data could help identify whether parents are feeding nestlings according to need or according to which nestling signals most vigorously. If parents feed the biggest and most active nestlings disproportionately, 
that would be a strong indication that dominant nestlings can outcompete siblings for food. 
",neg_q
Alban,"Higher level of sibling competition, as in enlarged broods, reduced nestling body mass and tarsus length before fledging and also reduced fledging success.Nestling pre-fledging body mass in turn predicted the probability of recruitment in the next breeding season.",neg_c
Alpha,"a) The experiment was poorly planned to answer the question

or 

b) The question can not be answered by the given data.",none_c
Appin,No significant effect of sibling number of growth of nestlings,none_c
Aubur,"The greatest effect on tarsus was the sex of the chick with males, on average, having 3% longer tarsus bones (Table 3). Nestling competition was the next most influential factor with each additional nestling reducing tarsus length by 0.04 mm. Chick mass was impacted by sibling competition (brood size), with each additional nestling/sibling in the rearing nest causing a mean reduction of 0.09 g in weight",neg_q
Avoca,"These results suggest that the growth of nestling blue tits is strongly influenced by the number of nestlings. These results also suggest, however, that competition with siblings is tempered by some additional factor, as increases in nest size beyond the unmanipulated state did not significantly reduce sibling growth.",neg_q
Bargo,"Overall, our results showed that the more competition, the less nestlings grow. These results were particularly evident when focusing on nestlingsÃ¢â‚¬â„¢ body mass rather than tarsus length, which is likely due to the larger lability (and lower heritability) of body mass compared to tarsus length.",neg_c
Berry,Sibling competition significantly affects the growth of nestling blue tits.,neg_c
Binda,"I found that nestling growth decreases when competition with siblings is experimentally increased. However, I did not find an increase in nestling growth when competition with siblings is experimentally decreased.",mixed
Borde,"Competition with siblings has an overall negative effect on the growth of nestling blue tits. However, the large variance within and between chicks shows that there are many parental and rearing effects that influence the body mass and length of tarsus in the species.",neg_q
Bowen,"Overall, there was a trend for decreased body condition due to nest treatment (Table 5), however both increasing and decreasing the nest trended in the same direction. We found no impact of clutch manipulation on hatchling tarsus length at 14 days old (Table 1). We found that tarsus lengths were shorter in year 2003 compared to 2001 (Table 1). Offspring with extra-pair paternity, male offspring, and offspring reared in transplanted nests were associated with larger tarsus (Table 1). While offspring sex accounted for approximately 10% of tarsus length variation, the other factors had little impact on tarsus length, with average effect sizes below 2% and a model effect size of 26% (Table 2). We found an impact of clutch manipulation on hatchling weight at 14 days old, with hatchlings from nests with increased clutch sizes weighing less than hatchling from control nests (Table 3). While there was a trend for hatchlings from 2002 to be smaller than 2001, hatching from 2003 were smaller than 2001 as well as hatchlings whose eggs were laid later in the season (Table 3). Additionally, clutch size in the rearing nests at the start of rearing had a negative relation with hatchling weight. Finally, offspring reared in transplanted nests weighed more than offspring reared in their home nests (Table 3). The magnitude of these changes ranged from 1-9%, with competition parameters (clutch size and nest treatment) having effect sizes of 1-7% while the overall model explained 38% of the variation (Table 4).",neg_q
Bulli,"I conclude that inhibited nestling growth is associated with an increase in sibling competition, but an increase in nestling growth is not as strong associated with a decrease in sibling competition.",neg_q
Cedun,"We conclude that growth of Blue tits is strongly impacted by competition with siblings. 

Growth is strongly influenced by the number of siblings in the nest that a particular chick is reared with- growth parameters decrease with an increase in the number of siblings in a nest. In addition, sex strongly effects growth parameters- male chicks are heavier and have a longer tarsus than females. The experiment itself appears to have an impact- weight of chicks who were reared in the home nest were s heavier than experimental chicks, whereas the tarsus length was significantly higher for chicks that were reared in a nest away from their hatching nest.",neg_c
Albury,"We found a clear and consistent negative effect of brood size manipulation for all of our three indicators of hatchling growth, tarsus length (Î² = -0.09, 95% CI = -0.11 ï€­ -0.07), body mass (Î² = -0.22, 95% CI = -0.27 ï€­ -0.18), and scaled mass index (Î² = -0.21, 95% CI = -0.25 ï€­ -0.17; Table 1, Figure 1). An increase in brood size resulted in lower growth of hatchlings and conversely, a decrease in brood size resulted in higher growth rate.",neg_c
