column_id,entity,outcome_variable,predictor_variable,covariate
hatch_year,year,0,0,1
hatch_nest_breed_ID,id,0,0,1
hatch_Area,hatch_location,0,0,1
hatch_Box,hatch_location,0,0,1
hatch_mom_Ring,parent,0,0,1
hatch_nest_dad_Ring,parent,0,0,1
Extra-pair_paternity,parent,0,0,1
Extra-pair_dad_ring,parent,0,0,1
genetic_dad_ring_(WP_or_EP),parent,0,0,1
hatch_nest_LD,date,0,0,1
hatch_nest_CS,hatch_siblings,0,1,0
hatch_nest_OH,date,0,0,1
d0_hatch_nest_brood_size,hatch_siblings,0,1,0
d14_hatch_nest_brood_size,hatch_siblings,0,1,0
rear_nest_breed_ID,id,0,0,1
rear_area,rear_location,0,0,1
rear_Box,rear_location,0,0,1
rear_mom_Ring,parent,0,0,1
rear_dad_Ring,parent,0,0,1
rear_nest_trt,experimental_treatment,0,0,1
home_or_away,experimental_treatment,0,0,1
rear_nest_LD,date,0,0,1
rear_nest_CS,siblings,0,1,0
rear_nest_OH,date,0,0,1
rear_d0_rear_nest_brood_size,siblings,0,1,0
rear_Cs_out,experimental_treatment,0,1,0
rear_Cs_in,experimental_treatment,0,1,0
net_rearing_manipulation,experimental_treatment,0,1,0
rear_Cs_at_start_of_rearing,siblings,0,1,0
d14_rear_nest_brood_size,siblings,0,1,0
number_chicks_fledged_from_rear_nest,survival,0,0,1
Date_of_day14,date,0,0,1
day_14_tarsus_length,tarsus,1,0,0
day_14_weight,weight,1,0,0
day14_measurer,observer,0,0,1
chick_sex_molec,sex,0,0,1
chick_survival_to_first_breed_season,survival,0,0,1
within-area_movement,experimental_treatment,0,0,1
brood_reduction,experimental_treatment,0,1,0
blood_sib,siblings,0,1,0
hatch_incub_length,incubation,0,0,1
rear_incub_length,incubation,0,0,1
relatedness,genetics,0,0,1
competition_weight,weight,0,1,0
relative_CS,siblings,0,1,0
envir_rear,rear_location,0,0,1
percent_change,experimental_treatment,0,1,0
parentage,parent,0,0,1
manipulation_non,experimental_treatment,0,0,1
seasonal_timing,date,0,0,1
brood_mortality,survival,0,0,1
brood_sex_ratio,sex,0,0,1
