team_id,model_id,ConclusionS1,Conclusion,transformation,link_function_reported,dataset,mixed_model,response_variable_type,response_construction_description,response_variable_name,response_id_S2,test_variable,sample_size,Bayesian,linear_model,model_subclass,hatch_year,hatch_nest_breed_ID,hatch_Area,hatch_Box,hatch_mom_Ring,hatch_nest_dad_Ring,Extra-pair_paternity,Extra-pair_dad_ring,genetic_dad_ring_(WP_or_EP),hatch_nest_LD,hatch_nest_CS,hatch_nest_OH,d0_hatch_nest_brood_size,d14_hatch_nest_brood_size,rear_nest_breed_ID,rear_area,rear_Box,rear_mom_Ring,rear_dad_Ring,rear_nest_trt,home_or_away,rear_nest_LD,rear_nest_CS,rear_nest_OH,rear_d0_rear_nest_brood_size,rear_Cs_out,rear_Cs_in,net_rearing_manipulation,rear_Cs_at_start_of_rearing,d14_rear_nest_brood_size,number_chicks_fledged_from_rear_nest,Date_of_day14,day_14_tarsus_length,day_14_weight,day14_measurer,chick_sex_molec,chick_survival_to_first_breed_season,within-area_movement,brood_reduction,blood_sib,hatch_incub_length,rear_incub_length,relatedness,competition_weight,relative_CS,envir_rear,percent_change,parentage,manipulation_non,seasonal_timing,brood_mortality,brood_sex_ratio
Ayr,Ayr-1-2-2,"Chicks reared in clutches of 5-6 were the biggest in weight, tarsus length, and overall growth. Although sibling competition affected chick growth, this effect was outweighed by the random effects of each model, illustrating the importance of parental, geographical, and weather-related influences.",NA,NA,NA,blue tit,1,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_tarsus_length,R_11787O3NmejXKAH,net_rearing_manipulation,3720,0,generalised,standard,hatch_year,NA,NA,NA,hatch_mom_Ring,NA,NA,NA,NA,NA,NA,NA,d0_hatch_nest_brood_size,NA,NA,rear_area,NA,rear_mom_Ring,NA,NA,home_or_away,NA,NA,NA,NA,NA,NA,net_rearing_manipulation,rear_Cs_at_start_of_rearing,d14_rear_nest_brood_size,NA,Date_of_day14,day_14_tarsus_length,day_14_weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ayr,Ayr-1-2-3,"Chicks reared in clutches of 5-6 were the biggest in weight, tarsus length, and overall growth. Although sibling competition affected chick growth, this effect was outweighed by the random effects of each model, illustrating the importance of parental, geographical, and weather-related influences.",NA,NA,NA,blue tit,1,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_weight,R_11787O3NmejXKAH,net_rearing_manipulation,3720,0,generalised,standard,hatch_year,NA,NA,NA,hatch_mom_Ring,NA,NA,NA,NA,NA,NA,NA,d0_hatch_nest_brood_size,NA,NA,rear_area,NA,rear_mom_Ring,NA,NA,home_or_away,NA,NA,NA,NA,NA,NA,net_rearing_manipulation,rear_Cs_at_start_of_rearing,d14_rear_nest_brood_size,NA,Date_of_day14,day_14_tarsus_length,day_14_weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ayr,Ayr-1-2-1,"Chicks reared in clutches of 5-6 were the biggest in weight, tarsus length, and overall growth. Although sibling competition affected chick growth, this effect was outweighed by the random effects of each model, illustrating the importance of parental, geographical, and weather-related influences.",NA,NA,NA,blue tit,1,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_weight*day_14_tarsus_length,R_11787O3NmejXKAH,net_rearing_manipulation,3720,0,generalised,standard,hatch_year,NA,NA,NA,hatch_mom_Ring,NA,NA,NA,NA,NA,NA,NA,d0_hatch_nest_brood_size,NA,NA,rear_area,NA,rear_mom_Ring,NA,NA,home_or_away,NA,NA,NA,NA,NA,NA,net_rearing_manipulation,rear_Cs_at_start_of_rearing,d14_rear_nest_brood_size,NA,Date_of_day14,day_14_tarsus_length,day_14_weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bega,Bega-2-2-1,"Nestlings in enlarged broods on average had shorter tarsi compared to control broods, but not significantly so, while they had significantly shorter tarsi compared to nestlings in reduced broods (Table 1, Figure 1B, 1D). Nestlings in reduced broods did not have significantly longer tarsi than control nestlings (Table 1, Figure 1B, 1D). Mean tarsus length per nest was significantly lower for larger experimental broods and for broods in which more nestlings died. The laying date did not affect mean tarsus length significantly.",neg_q,identity,identity,blue tit,1,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_tarsus_length,R_126erjKKuN3IwSJ,rear_nest_trt_C.E,396,0,linear,standard,hatch_year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rear_area,NA,NA,NA,rear_nest_trt,NA,NA,NA,rear_nest_OH,NA,NA,NA,NA,rear_Cs_at_start_of_rearing,d14_rear_nest_brood_size,NA,NA,NA,NA,NA,NA,NA,NA,brood_reduction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bega,Bega-2-2-2,"Nestlings in enlarged broods on average had shorter tarsi compared to control broods, but not significantly so, while they had significantly shorter tarsi compared to nestlings in reduced broods (Table 1, Figure 1B, 1D). Nestlings in reduced broods did not have significantly longer tarsi than control nestlings (Table 1, Figure 1B, 1D). Mean tarsus length per nest was significantly lower for larger experimental broods and for broods in which more nestlings died. The laying date did not affect mean tarsus length significantly.",neg_q,identity,identity,blue tit,1,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_tarsus_length,R_126erjKKuN3IwSJ,rear_nest_trt_R.C,396,0,linear,standard,hatch_year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rear_area,NA,NA,NA,rear_nest_trt,NA,NA,NA,rear_nest_OH,NA,NA,NA,NA,rear_Cs_at_start_of_rearing,d14_rear_nest_brood_size,NA,NA,NA,NA,NA,NA,NA,NA,brood_reduction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bega,Bega-1-1-1,"We found mean weight per brood to be significantly lower in the enlarged broods compared to the control and reduced broods, while nestlings in reduced broods were not significantly heavier than nestlings in control broods (Table 1, Figure 1A, 1C). Mean weight was significantly lower for larger experimental brood sizes, broods that were laid later in the year, and nests in which a higher number of nestlings died.",neg_q,identity,identity,blue tit,1,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_weight,R_126erjKKuN3IwSJ,rear_nest_trt_C.E,396,0,linear,standard,hatch_year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rear_area,NA,NA,NA,rear_nest_trt,NA,NA,NA,rear_nest_OH,NA,NA,NA,NA,rear_Cs_at_start_of_rearing,d14_rear_nest_brood_size,NA,NA,NA,NA,NA,NA,NA,NA,brood_reduction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bega,Bega-1-1-2,"We found mean weight per brood to be significantly lower in the enlarged broods compared to the control and reduced broods, while nestlings in reduced broods were not significantly heavier than nestlings in control broods (Table 1, Figure 1A, 1C). Mean weight was significantly lower for larger experimental brood sizes, broods that were laid later in the year, and nests in which a higher number of nestlings died.",neg_q,identity,identity,blue tit,1,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_weight,R_126erjKKuN3IwSJ,rear_nest_trt_R.C,396,0,linear,standard,hatch_year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rear_area,NA,NA,NA,rear_nest_trt,NA,NA,NA,rear_nest_OH,NA,NA,NA,NA,rear_Cs_at_start_of_rearing,d14_rear_nest_brood_size,NA,NA,NA,NA,NA,NA,NA,NA,brood_reduction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bell,Bell-4-4-1,"Specifically, tarsus length was negatively influenced by brood size increases, and positively related to brood size decreases. The net change in brood size was also negatively related to tarsus length, indicating that broods with larger increases in the number of nestlings also had smaller nestlings.",neg_c,identity,identity,blue tit,1,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_tarsus_length,R_12cozGev3IOOBG2,NA,3720,0,linear,standard,NA,hatch_nest_breed_ID,NA,NA,NA,NA,NA,NA,NA,hatch_nest_LD,NA,NA,NA,NA,rear_nest_breed_ID,rear_area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d14_rear_nest_brood_size,NA,Date_of_day14,NA,NA,day14_measurer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bell,Bell-3-3-1,"Specifically, tarsus length was negatively influenced by brood size increases, and positively related to brood size decreases. The net change in brood size was also negatively related to tarsus length, indicating that broods with larger increases in the number of nestlings also had smaller nestlings.",neg_c,identity,identity,blue tit,1,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_tarsus_length,R_12cozGev3IOOBG2,NA,NA,0,linear,standard,NA,hatch_nest_breed_ID,NA,NA,NA,NA,NA,NA,NA,hatch_nest_LD,NA,NA,NA,NA,rear_nest_breed_ID,rear_area,NA,NA,NA,NA,NA,NA,NA,NA,rear_d0_rear_nest_brood_size,NA,NA,NA,NA,NA,NA,Date_of_day14,NA,NA,day14_measurer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
